story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc,gay,link
1532.0,The Training,Turning my daughter into a willing sex slave.,41272.0,9.5,11.0,116464,659,Ninja Turtle,"Mar 12, 2003","['M+/f+', 'exhibition', 'fisting', 'incest', 'teen', 'voyeurism', 'D/s', 'BDSM', 'slavery', 'reluctant', 'humiliation', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1532.0
1501.0,2nd Chance - The Organization Series 3,"Continuation of The Organization Series, the experiences of a slave tested by her new Master.",326536.0,9.5,13.0,115091,430,slave ruthie,"Feb 25, 2003","['M/f', 'fisting', 'snuff', 'BDSM', 'slavery', 'chastitybelt', 'real', 'torture', 'Heavy']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1501.0
1500.0,V Is For Victim - The Organization Series 2,"This is part of the Organization Series - it follows   ""The House of Ali"" and precedes ""The Performers"".",47089.0,9.5,5.0,55008,430,slave ruthie,"Feb 25, 2003","['M+/f', 'teen', 'BDSM', 'slavery', 'chastitybelt', 'real', 'torture', 'nc', 'Heavy']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1500.0
1484.0,The Degradation of Tricia,An 18-year-old schoolgirl is blackmailed into becoming the sex plaything of an evil brother and sister.,326005.0,9.5,13.0,186081,645,Lia Anderssen,"Feb 11, 2003","['f-self', 'MF/f', 'exhibition', 'D/s', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1484.0
1478.0,Gambling Debt,A man wins two sisters playing pool.,92311.0,9.5,15.0,57442,567,BDSM Bill,"Feb 11, 2003","['M/f+', 'spanking', 'D/s', 'B/D', 'slavery', 'bondage', 'real', 'reluctant', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1478.0
1454.0,The Bra,Madame Cong is at it again and female slavery is her thing.  This time she is out to get a nosey FBI agent.,56091.0,9.5,11.0,59098,275,Jackpot,"Jan 21, 2003","['F/f', 'modification', 'D/s', 'BDSM', 'slavery', 'lingerie', 'real', 'mc', 'humiliation', 'nc', 'Serious', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1454.0
1895.0,Julie,"Julie is an average teenage girl in the orphanage, with no idea of her unusual past. When a twisted criminal begins kidnapping her friends, she begins to experience a world she never knew existed and learns of the strange abilities she possesses.",645011.0,9.5,20.0,196586,749,Lord Douche,"Sep 1, 2003","['M/f+', 'F/f+', 'MF/f', 'enema', 'modification', 'teen', 'toys', 'D/s', 'latex', 'slavery', 'bondage', 'chastitybelt', 'ScFi', 'humiliation', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1895.0
1418.0,The Wonderful Brassiere,Sarah's enforced wearing of a painful garment provides an evening of entertainment for her father and his friends.,16716.0,9.5,19.0,75160,550,pamela,"Jan 4, 2003","['M+/f', 'BDSM', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1418.0
1238.0,Discipline,Journey of self discovery for young submissive and her Master.,38259.0,9.5,7.0,62693,548,Nikki,"Oct 11, 2002","['M/f', 'M+/f', 'spanking', 'BDSM', 'bondage', 'slow', 'reluctant', 'humiliation', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1238.0
1928.0,Puppet-Girl,A young supervisor's lesbian employees take matters firmly in hand.,32741.0,9.5,8.0,39332,403,Couture,"Sep 10, 2003","['F+/f', 'D/s', 'slavery', 'job', 'reluctant', 'humiliation', 'blackmail', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1928.0
1389.0,Enslaved,"Jana wanted to experience complete submission, and contracted for a few months as Kurt's slave.  Kurt provides fantasy fulfillment, but he takes it to an extreme.  Once Jana gives herself over to him, there is no turning back for her, as her enslavement becomes more real than fantasy, and becomes a nightmare not a dream.",111260.0,9.5,14.0,126999,594,Reine Woods,"Dec 19, 2002","['M+/f', 'enema', 'exhibition', 'toys', 'BDSM', 'slavery', 'bondage', 'real', 'consensual', 'reluctant', 'humiliation', 'torture', 'nc', 'Heavy', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1389.0
5.0,White victim,White girl were captured by two black women and trained to be a painslut. The story ends up with a public catfighting event.,130401.0,9.5,8.0,93908,5,Allene Blake,"Jun 29, 2000","['M/f', 'F/f', 'F+/f', 'B/D', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=5.0
1959.0,Lash of the Desperados,"Teresa Martinez is a ravishing young girl who pours drinks in a backwater cantina in Sonora Mexico. She dreams of having enough money to take the long stagecoach ride to San Francisco where, she is sure, her sparkling eyes, her luscious body, and her sensuous dancing will win her a rich banker or railroader or the like.  Then one night an American cowpoke stops by the cantina and has a good run of luck in a poker game.  Teresa, mesmerized by the pile of money in front of the gringo, decides to dance for him. And more. But greed is a sin. And some sins are punished here on earth.",316052.0,9.5,4.0,114390,578,Big Jake,"Sep 24, 2003","['M+/f', 'teen', 'voyeurism', 'BDSM', 'historical', 'torture', 'nc', 'Heavy']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1959.0
